,precision,recall,f1-score,support
8base,1.0,1.0,1.0,69.0
Ako,1.0,1.0,1.0,1.0
ElDorado,1.0,1.0,1.0,5.0
abyss,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
akira,1.0,1.0,1.0,104.0
alphv,1.0,1.0,1.0,120.0
apt73,1.0,1.0,1.0,7.0
arcusmedia,1.0,1.0,1.0,11.0
arvin club,1.0,1.0,1.0,3.0
avoslocker,1.0,1.0,1.0,15.0
bianlian,1.0,1.0,1.0,72.0
blackbasta,1.0,1.0,1.0,85.0
blackbyte,1.0,1.0,1.0,15.0
blackout,1.0,1.0,1.0,1.0
blacksuit,1.0,1.0,1.0,27.0
cactus,1.0,1.0,1.0,36.0
cheers,1.0,1.0,1.0,2.0
cicada3301,1.0,1.0,1.0,9.0
ciphbit,1.0,1.0,1.0,5.0
cloak,1.0,1.0,1.0,13.0
clop,1.0,1.0,1.0,147.0
conti,1.0,1.0,1.0,23.0
cuba,1.0,1.0,1.0,13.0
dAn0n,1.0,1.0,1.0,3.0
daixin,1.0,1.0,1.0,3.0
darkpower,1.0,1.0,1.0,1.0
darkrace,1.0,1.0,1.0,1.0
darkvault,0.625,0.625,0.625,8.0
donutleaks,0.8,0.8,0.8,5.0
dragonforce,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
dunghill_leak,0.5,0.5,0.5,2.0
embargo,1.0,1.0,1.0,3.0
everest,1.0,1.0,1.0,21.0
fog,1.0,1.0,1.0,25.0
hiveleak,1.0,1.0,1.0,27.0
hunters,1.0,1.0,1.0,41.0
incransom,1.0,1.0,1.0,29.0
karakurt,1.0,1.0,1.0,11.0
kelvinsecurity,1.0,1.0,1.0,4.0
killsec,1.0,1.0,1.0,29.0
lockbit2,1.0,1.0,1.0,80.0
lockbit3,1.0,1.0,1.0,296.0
lorenz,1.0,1.0,1.0,8.0
losttrust,1.0,1.0,1.0,8.0
lv,1.0,1.0,1.0,7.0
malas,1.0,1.0,1.0,26.0
mallox,1.0,1.0,1.0,8.0
medusa,1.0,1.0,1.0,24.0
meow,1.0,1.0,1.0,21.0
metaencryptor,1.0,1.0,1.0,5.0
midas,1.0,1.0,1.0,1.0
mindware,1.0,1.0,1.0,2.0
monti,1.0,1.0,1.0,12.0
noescape,1.0,1.0,1.0,22.0
nokoyawa,1.0,1.0,1.0,6.0
onyx,1.0,1.0,1.0,4.0
play,1.0,1.0,1.0,116.0
qilin,1.0,1.0,1.0,53.0
quantum,1.0,1.0,1.0,8.0
ragnarlocker,1.0,1.0,1.0,10.0
ragroup,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
ransomexx,1.0,1.0,1.0,6.0
ransomhouse,1.0,1.0,1.0,18.0
ransomhub,1.0,1.0,1.0,114.0
revil,1.0,1.0,1.0,2.0
rhysida,1.0,1.0,1.0,28.0
royal,1.0,1.0,1.0,29.0
siegedsec,1.0,1.0,1.0,3.0
snatch,1.0,1.0,1.0,17.0
sparta,1.0,1.0,1.0,2.0
stormous,1.0,1.0,1.0,18.0
suncrypt,1.0,1.0,1.0,2.0
threeam,1.0,1.0,1.0,8.0
toufan,1.0,1.0,1.0,18.0
trigona,1.0,1.0,1.0,8.0
trinity,1.0,1.0,1.0,3.0
underground,1.0,1.0,1.0,3.0
vicesociety,1.0,1.0,1.0,26.0
accuracy,0.9946550048590865,0.9946550048590865,0.9946550048590865,0.9946550048590865
macro avg,0.9796411921411922,0.9801961926961928,0.9798388762853646,2058.0
weighted avg,0.9947496623881463,0.9946550048590865,0.9946793815471722,2058.0
